p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	pct.ratio	pct.difference
1.1550220230503507e-155	-0.6000247926303206	0.172	0.467	2.062522826561011e-151	1	Hsp90aa1	0.36830835117773014	-0.29500000000000004
1.708134765069665e-154	0.4675232814729844	0.564	0.287	3.0502162499849004e-150	1	Fstl1	1.9651567944250872	0.27699999999999997
7.87865698029948e-154	0.37184895255656736	0.695	0.394	1.4068917769720783e-149	1	Ly6a	1.763959390862944	0.30099999999999993
3.641153640563128e-152	-0.581225507558605	0.963	0.919	6.502008055953577e-148	1	Rpsa	1.0478781284004353	0.04399999999999993
1.0283021320074731e-150	-0.5799609871846242	0.113	0.384	1.8362391171257447e-146	1	Aldoa	0.2942708333333333	-0.271
8.610702715419934e-150	-0.5280713392457841	0.066	0.321	1.5376131838925377e-145	1	Tpi1	0.205607476635514	-0.255
1.1215843354979182e-147	-0.5439794477296738	0.074	0.328	2.0028131478986325e-143	1	Pgam1	0.22560975609756095	-0.254
6.239144734971471e-146	-0.4932687782451016	0.029	0.259	1.1141240753238554e-141	1	Rbp1	0.11196911196911197	-0.23
1.7775399108559966e-141	-0.5267180630933818	0.095	0.351	3.174153018815553e-137	1	Ldha	0.2706552706552707	-0.256
1.857706937444096e-136	0.2204277672998527	0.548	0.262	3.317307278193923e-132	1	Clec3b	2.0916030534351147	0.28600000000000003
2.2626103988871754e-135	0.3253915976980313	0.542	0.27	4.040343389292829e-131	1	Ly6c1	2.0074074074074075	0.272
5.574663794100745e-131	-0.5141545459503623	0.166	0.434	9.954677137125701e-127	1	Prdx1	0.3824884792626728	-0.268
7.437377091563192e-127	0.3086631178347501	0.796	0.548	1.328092427240439e-122	1	Sparc	1.4525547445255473	0.248
8.689783355774222e-125	-0.4542748729280083	0.044	0.257	1.551734613840603e-120	1	Lgals3	0.17120622568093383	-0.21300000000000002
9.167066633368941e-121	-0.5074734673205659	0.908	0.873	1.6369630887206918e-116	1	Rpl8	1.0400916380297824	0.03500000000000003
1.8293060037211547e-119	-0.4726036651839454	0.139	0.387	3.266591730844866e-115	1	Serbp1	0.3591731266149871	-0.248
4.919375431089602e-117	-0.5146212158376571	0.982	0.925	8.784528707296703e-113	1	Rps12	1.0616216216216217	0.05699999999999994
4.789319418192264e-112	-0.5122675866989144	0.921	0.874	8.552287685065926e-108	1	Rpl36	1.0537757437070938	0.04700000000000004
4.479417047354515e-108	-0.3983393042998527	0.176	0.429	7.998895021460958e-104	1	Eif2s2	0.41025641025641024	-0.253
